ID,Type,Name,Cost,Traits,Strength,Health,Restore,Effect,Notes,Color,,,,,,,,
216,Artifact,Favored Waters,4B,Location,-,2,-,"When an enemy captures a battlefield, they must sacrifice a creature",,Blue,,,,,,,,
217,Artifact,Kvolmer,5B,Item | Wonder,-,3,-,"Start of Phase: If Kvolmer has 3 or more counters on it, sacrifice Kvolmer and summon three Horror creatures from your discard at no cost. 
Action: Place a counter on Kvolmer.","""...the book, it fell to the bottom of the sea. Better it stay there..."" - Keeper of Stories",Blue,,,,,,,,
218,Artifact,Serpent's Halberd,7B,Item | Horror,-,7,-,"Recycled: Deal 2 damage to a friendly creature.
Play: Each creature gains +2|+2|+0 for each point of damage they have sustained.",,Blue,,,,,,,,
219,Artifact,Voyager's Chant,5B,Ritual,-,6,-,"Each time a friendly martyr creature is destroyed, you may stockpile it under Voyager's Chant instead of discarding it.
Action: Discard one of the cards under Voyager's Chant. If you do, then draw cards equal to the number of cards under Voyager's Chant.",,Blue,,,,,,,,
220,Artifact,Crimson Glyphs,7B,Item | Ritual,-,4,-,"Action: You may stockpile a friendly creature under Crimson Glyphs. If you do, deal damage equal to that creature's power to a creature.
Witness: You may sacrifice a friendly creature. If you do, summon each creature under Crimson Glyph's at no cost.",,Blue,,,,,,,,
221,Creature,Seasoned Marauder,2B,Pillager,1,3,0,Bloodied: Seasoned Marauder gains +1 | +1 | +0,,Blue,,,,,,,,
222,Creature,"Vïlaac, Protector",4B,Pillager,2,5,3,"Bloodied: Fully heal an allied creature.
Revealed: Your opponent sacrifices a creature.",Complete/Normalize wording,Blue,,,,,,,,
223,Creature,Desperate Finale,8B,Horror,*,3,1,"Play: Stockpile each creature in your discard under this creature. Desperate Finale's power is equal to the number of creatures stockpiled under it.
Sturdy (This creature does not take damage, unless that damage would be enough to destroy it)",,Blue,,,,,,,,
224,Creature,Corpse-Eater,3B,Horror,5,2,0,"Sturdy (This creature does not take damage, unless that damage would be enough to destroy it) 
Whenever Corpse-Eater destroys a creature, stockpile it under this creature.",,Blue,,,,,,,,
225,Creature,Battering Party,3B,Pillager,2,3,1,Deploy: Deal 1 damage to every creature in the zone where this is deployed.,,Blue,,,,,,,,
226,Creature,Shield Urchin,3B,Beast,0,5,2,Bloodied: Shield Urchin deals 1 damage to every creature in the zone where this is deployed,,Blue,,,,,,,,
227,Creature,Valhallan Martyr,-,"Pillager | Martyr
",2,1,0,"Recycled: You may deal 2 damage to an allied non-martyr creature. If you do, summon Valhallan Martyr",,Blue,,,,,,,,
228,Creature,Keeper of Stories,2B,Human | Scholar,1,1,0,Discarded: Idle an allied creature and draw a card.,,Blue,,,,,,,,
229,Creature,Sheepskin Traitor,3B,Pillager,3,2,0,Subtle (This creature may ignore the battleline when deploying),,Blue,,,,,,,,
230,Creature,"Yria, Spear Maiden",5B,Apparition | Martyr,5,3,1,Deploy: Deal 2 damage to a creature in the zone this creature is deployed to.,,Blue,,,,,,,,
231,Creature,"Lopha, Inheritor",5B,Pillager,1,2,1,Idle: Lopha's effects are replaced with the effect of a creature in your discard.,Not sure how to word this. Also not sure if its worth anything.,Blue,,,,,,,,
232,Creature,"Wylla, Brine Chosen",6B,Pillager,1,4,1,"Deploy: Give each Pillager in this zone ""Destroyed: Deal 1 damage to each creature in this zone"" Until end of phase.","""Those who would forget our oceans... be purged!"" Wylla, Brine Chosen",Blue,,,,,,,,
233,Creature,Oldrasen,1B,Beast,4,1,0,"Oldrasen comes in ready.
End of Phase: Sacrifice this creature.",,Blue,,,,,,,,
234,Creature,Kraken,"6B
",Titan | Beast,2,4,1,"Action: 1B. Destroy a creature of toughness lower than Kraken's toughness. If you do, give the Kraken + 0 | +1 | +0",,Blue,,,,,,,,
235,Creature,Draguk Shambler,4B,Pillager | Horror,X,3,2,Draguk Shambler's base power is equal to half the number of cards in your discard pile.,,Blue,,,,,,,,
236,Creature,Maré,4B,Beast | Horror,0,2,1,"Destroyed: Stockpile the Maré under an enemy creature. That creature gains ""Destroyed: Shuffle your discard back into your library.""",,Blue,,,,,,,,
237,Creature,Katek Shaman,4B,Horror,1,1,1,"Idle: You may stockpile a card from your discard under a friendly creature. If you do, give that creature Sturdy until end of turn.",,Blue,,,,,,,,
238,Creature,"Rav, The Unfelled",5B,Pillager | Horror,4,1,0,"Destroyed: If Rav is the only friendly creature in this zone, resummon it in the barracks at no cost.","""I knew Ravet long ago. This thing... it is not him."" - Yria, Spear Maiden",Blue,,,,,,,,
239,Creature,"Allya, Mapmaker",4B,Human | Scholar,1,2,1,Action: Ready a friendly Wonder.,,Blue,,,,,,,,
240,Creature,"Iui, Spirit of the Wreck",5B,Scrap | Horror,2,4,2,"Bloodied: Shuffle a number of cards equal to the damage on Iui from your enemy's discard back into their deck, ",,Blue,,,,,,,,
241,Creature,Connoiseur of Rage,3B,Pillager,2,4,1,Bloodied: Ready Connoiseur of Rage.,,Blue,,,,,,,,
242,Creature,Nighthunter,2B,Beast,2,2,0,Trap: Deal 2 damage to the trapped creature.,,Blue,,,,,,,,
243,Creature,Dauntless Marauder,4B,Pillager,3,2,1,"Destroyed: Deal 3 damage to an enemy creature and 3 damage to an enemy artifact.
Trap: Destroy Dauntless Marauder. Gain 1 mana.",,Blue,,,,,,,,
244,Creature,Leviathan Crew,3B,Pillager | Ship,3,2,1,Leviathan crew deals double damage to creatures with toughness greater than or equal to 5,,Blue,,,,,,,,
245,Creature,Eye of the Storm,5B,Elemental | Horror,0,5,0,"Trap: Deal one damage to each creature in this zone.
Sturdy (This creature does not take damage, unless that damage would be enough to destroy it)","""Like the ride of your life! Hold on, Bjïrkirs!"" - Cpt. Sekir",Blue,,,,,,,,
246,Creature,"Sekir, Captain of the Leviathan",5B,Pillager | Leader,4,3,0,"Sekir deals double damage to creatures with toughness greater than or equal to 5.  
Sturdy (This creature does not take damage, unless that damage would be enough to destroy it.)",,Blue,,,,,,,,
247,Creature,Ragtooth,4B,Pillager,1,4,3,"Dauntless
While this creature has exactly 3 damage on it, cards with the trait Horror cost 1 less to summon.",,Blue,,,,,,,,
248,Instant,Horrifying Visions,2B,-,-,-,-,"Play: Exhaust a friendly Horror. If you do, exhaust 2 enemy creatures and deal 2 damage to them.",,Blue,,,,,,,,
249,Instant,Spearfishing,2B,-,-,-,-,"Play: Choose an enemy creature and an allied creature. Move the enemy creature to the same zone as the allied creature, and deal 2 damage to it.",,Blue,,,,,,,,
250,Instant,Roughhousing,1B,-,-,-,-,Play: Do 1 damage to a creature. Then give it +1|+1|+0.,,Blue,,,,,,,,
251,Instant,Burn the Remains,3B,-,-,-,-,Play: Enemy creatures destroyed this turn are placed at the bottom of their owner's deck.,,Blue,,,,,,,,
252,Instant,Bloodrush,2B,-,-,-,-,"Play: An allied creature gains ""Destroyed: Resummon this creature to your barracks and give it +1 | +0 | +0"" until the end of phase.",,Blue,,,,,,,,
253,Instant,Burning Path,3B,-,-,-,-,"Play: Sacrifice a creature in the Battleline. If you do, replace the current Battlefield with the next Battlefield",,Blue,,,,,,,,
254,Instant,Gift of the Blood,"2B
",-,-,-,-,"Play: Give a creature +2 | +0 | +0 and ""End of Phase: If this creature is not in the Battleline, sacrifice it.""",,Blue,,,,,,,,
255,Instant,Skylight Ceremony,2B,-,-,-,-,"Play: If a friendly creature has died this turn, deal 4 damage to an enemy creature.","
",Blue,,,,,,,,
256,Instant,Raiding Party,2B,-,-,-,-,Play: Deal 1 damage to an artifact for each ready friendly creature you control.,,Blue,,,,,,,,
257,Instant,Symbiosis,2B,-,-,-,-,"Play: Sacrifice up to three friendly Pillager creatures. For each Pillager creature you sacrifice, give a friendly Horror +1| +1| +0",,Blue,,,,,,,,
258,Instant,Hunger of the Deep,6B,-,-,-,-,"Play: Give each creature ""End of Phase: Sacrifice this creature.""",,Blue,,,,,,,,
259,Instant,Bloodforged,2B,-,-,-,-,"Play: Sacrifice any number of friendly creatures. For each sacrifice creature, give a friendly creature +1 | +0 | +0.",,Blue,,,,,,,,
260,Instant,Friendly Winds,3B,-,-,-,-,"Play: Deploy all friendly creatures to the Battleline. Resolve combat in the Battleline, but do not end the phase.",,Blue,,,,,,,,
,,,,,,,,,,,,,,,,,,
261,Battlefield,Valhalla,Location,-,-,-,-,"If a creature would be deployed, deploy it to the battlefield","Whenever you deploy three or more creatures to the battlefield, provoke an enemy creature.",Brown,Battlefield,30,,,,,,
262,Battlefield,Burning Crags,Location,"-
",-,-,-,"Any time a creature is deployed, deal 1 damage to it.",Creatures that attack an artifact on Burning Crags take 1 damage.,Brown,,,,,,,,
263,Battlefield,New Cambria,Location,-,-,-,-,Creatures with power 2 or less gain +1 | +1 | +1. Creatures with power 4 or greater gain -1 | -1 | -1,"Whenever a creature you control with power 2 or less dies, draw a card.",Brown,,,,,,,,
264,Battlefield,Hyperbolic Fields,Location,-,-,-,-,Summoned creatures come in ready.,You can deploy one more creature at a time.,Brown,,,,,,,,
265,Battlefield,River Morphea,Location,-,-,-,-,Creatures trigger Idle effects when deployed to the battlefield.,"Whenever a friendly creature with an Idle effect is destroyed, trigger its idle effect.",Brown,,,,,,,,
266,Battlefield,Scr4P-T0wN,Location,-,-,-,-,"Each player may discard up to six cards at the beggining of phase, rather than 3.",You may discard one more card during your draw/discard phase.,Brown,,,,,,,,
267,Battlefield,Irradiated Waste,Location,-,-,-,-,End of Phase: Each player sacrifices a creature.,End of Phase: Deal 1 damage to a friendly creature and 2 damage to an enemy creature.,Brown,,,,,,,,
268,Battlefield,New Moon,State,-,-,-,-,"All creatures gain ""Subtle (This creature may ignore the battleline when being deployed).""",The first subtle creature you summon this phase comes in ready.,Brown,May be way strong once captured.,,,,,,,
269,Battlefield,Watering Hole,Location,-,-,-,-,"Whenever a creature would be deployed, flip a coin. If the coin is heads, deploy it to the intended zone. Otherwise, idle it.","Start of Phase: Choose two creatures. Heal each creature 1 points of damage. If this removes 2 damage from creatures in play, gain 1A. ",Brown,,,,,,,,
270,Battlefield,Plot of Champions,"Location
",-,-,-,-,"Whenever a friendly creature is destroyed, give a friendly creature + 1| + 1| + 0","Whenever a friendly creature is destroyed, heal the artifact 
on Plot of Champions 2 points.",Brown,,,,,,,,
271,Battlefield,"Yol, Stomping Ground",Location,-,-,-,-,"Start of Phase: Each player who controls 2 or more creatures sacrifices their creature with least toughness, then gives their creature with greatest toughness +1 | +0 | +0.",Start of Phase: 1A. Provoke the enemy creature with least toughness. ,Brown,,,,,,,,
272,Battlefield,Crashed Meteor,Location,-,-,-,-,"Revealed: Each Player discards every card in their hand, then draws 6.",End of Phase: Discard a card.,Brown,,,,,,,,
273,Battlefield,Glowing Cavern,Location,-,-,-,-,End of Phase: Fully heal all creatures.,Damaged friendly creatures have +0| +0 | +,Brown,,,,,,,,
274,Battlefield,Abandoned Battleground,Location,-,-,-,-,"Horror, Apparition, and Scrap creatures gain +1 | +1 | +0 while this is in play.","Friendly Horror, Apparition, and Scrap creatures have +0 | +1 | +0.",Brown,,,,,,,,
275,Battlefield,Focus,State,-,-,-,-,Each player may only play one card this turn,Start of Phase: Draw an additional card.,Brown,,,,,,,,
276,Battlefield,Clarity,State,-,-,-,-,Each player may only discard one card this turn,Start of Phase: You may discard 1 additional card this turn.,Brown,,,,,,,,
277,Battlefield,Aural Plane,Location,-,-,-,-,"Any damage done to artifacts is divided evenly amongst artifacts in play, rounding up","Damage done to the artifact on Aural Plane is halved, rounding up.",Brown,,,,,,,,
278,Battlefield,Haste,State,-,-,-,-,The first creature each player summons this phase comes in ready.,The first creature you summon this phase comes in ready.,Brown,,,,,,,,
279,Battlefield,Colisa Invictum,Location,-,-,-,-,"Each time a creature you control is destroyed, deal 3 damage to a friendly creature.","Each time an enemy creature is destroyed, draw a card.",Brown,,,,,,,,
280,Battlefield,Unease,State,-,-,-,-,Start of Phase: Each player reveals a random card in their hand. If a player plays the card they revealed that card's play effect doubles and each opponent must discard the card they revealed.,Your opponent must discard a random card in their hand.,Brown,,,,,,,,
281,Battlefield,Primordial Garden,Location,-,-,-,-,Each creature takes 1 less damage from all sources.,Start of Phase: Give a creature you control +0|+0|+1.,Brown,,,,,,,,
282,Battlefield,The Gate,Location,-,-,-,-,Revealed: Destroy each creature.,"The artifact built on The Gate gains ""Destroyed: Destroy each creature.""",Brown,,,,,,,,
283,Battlefield,The Altar,Location,-,-,-,-,"Whenever a player summons a creature, they must sacrifice another friendly creature.","The first time you sacrifice a creature this phase, gain 2 A mana.",Brown,,,,,,,,
284,Battlefield,Correcting Facility,Location,-,-,-,-,End of Phase: Destroy each damaged creature.,End of Phase: Fully heal a damaged creature.,Brown,,,,,,,,
285,Battlefield,Volcanic Archipelago,Location,-,-,-,-,Revealed: Each Player shuffles their discard back into their deck. You may discard as many cards as you want this phase.,"Each time you summon something of cost 4 or greater, recycle one less card than is required.
",Brown,,,,,,,,
286,Battlefield,Remote Temple,Location,-,-,-,-,"Creatures may not be deployed to this battlefield. Each creature gains ""Action: Sacrifice this creature."" 
End of Phase: The player that has sacrificed the most creatures this phase captures this Battlefield.","The artifact built on Common Ground gains ""Action: You may sacrifice a creature to exhaust an enemy creature of your choice.""",Brown,,,,,,,,
287,Battlefield,Common Ground,Location,-,-,-,-,"Combat does not occur on this battlefield. 
End of Phase: The player with the most creatures deployed to this battlefield captures it.","If you have more creatures deployed to the battlefield than your opponent, friendly creatures in the battlefield gain +0|+1|+0 until the end of phase.",Brown,,,,,,,,
288,Battlefield,The Fog,State,-,-,-,-,"Revealed: Exhaust each creature.
End of Phase: Shuffle this battlefield back into it's owners battlefield deck.","The artifact built on The Fog gains ""Action: Return a friendly creature and an enemy creature to their owner's hands.""",Brown,,,,,,,,
289,Battlefield,The Trenches,Location,-,-,-,-,"When combat completes on The Trenches, creatures do not return to their owners Barracks. 
End of Phase: If player controls 2 more creatures on this battlefield than their opponent, they capture this battlefield.","When you control two more creatures on the battlefield than an opponent, resolve combat on the battlefield.
",Brown,,,,,,,,
290,Battlefield,"Variksylva, Dragon's Roost",Location | Wonder,-,-,-,-,Creatures with toughness or power less than 3 are considered to have an empty text box.,"The artifact built on Variksylva, Dragon's Roost gains +0|+2|+0 and ""Action: An enemy creature is considered to have an empty text box until end of phase.""",Brown,,,,,,,,
291,Battlefield,Waterlogged Cavern,Location,-,-,-,-,"Each time you deploy a creature, exhaust another ready friendly creature.","The artifact built on Waterlogged Cavern gains ""Bloodied: You may exhaust an enemy creature of your choice.""",Brown,,,,,,,,
,,,,,,,,,,,,,,,,,,
292,Artifact,Circlet of Translation,7A,Item,-,4,-,"Play: Your opponent discards a random card from their hand. Draw a card. 
Action: 2A. Discard a card in your hand. Draw a card.",,Red,Artifact,3,Total,28,,,,
293,Artifact,Mark of the Successor,5A,Item | Wonder,-,6,-,"When an allied creature is destroyed, place a counter on ""Mark of the Successor."" 
Action: Play a card of cost equal to the total amount of tokens on this card at no cost. Sacrifice ""Mark of the Successor.""",,Red,Creature,12,,,,,,
294,Artifact,Philosopher's Shard,6A,Item,-,5,-,"Play: Sacrifice an allied creature. Gain A mana equal to the cost of that creature until End of Phase.
Action: 2A. All the cards in your discard are considered A mana until End of Phase.",,Red,Instant,13,,,,,,
295,Creature,"Var'i, Seer",4A,Human | Seer,1,1,1,Idle: Draw 2 cards. Discard 1,,Red,,,,,,,,
296,Creature,Raspine Stowaway,1A,Beast,1,1,1,,,Red,,,,,,,,
297,Creature,Bear Trap,2A,Construct,0,4,1,"Bear Trap enters play ready.
Trap: Deal 2 damage to the trapped creature and reduce its power to 0 until end of phase.",,Red,,,,,,,,
298,Creature,"Idvaline, Chemical Genius",5A,Human | Scholar,3,3,1,"Subtle (This creature may ignore the battleline when deploying)
Creatures in the same zone as Idvaline lose Sturdy.
Deploy: Each creature in this zone takes damage equal to its restore stat.",,Red,,,,,,,,
299,Creature,Cal,2A,Cyborg,0,1,1,Action: 4A. Destroy an enemy creature.,,Red,,,,,,,,
300,Creature,Gas Pump,4A,Construct,0,2,1,"Gas Pump enter play ready.
Trap: Stockpile this card under the trapped creature. This creature gains ""End of Phase: This creature takes 2 damage.""",,Red,,,,,,,,
301,Creature,Voice of the Oracle,3A,Apparition,1,3,3,"Witness: Look at the top three cards of your deck. Rearrange them in any order, then draw one.",,Red,,,,,,,,
302,Creature,Rionate Mercenary,2A,Human,2,1,1,Destroyed: You may expend 1A to resummon Rionate Mercenary in your Barracks.,,Red,,,,,,,,
303,Creature,"Ván, Magician",4A,Human | Thief,1,4,2,"Action: 1A. Reveal the top three cards of your deck. For each card of A color, shuffle a card from your enemy's discard into their deck. ",,Red,,,,,,,,
304,Creature,"Binvi, The Embraced",5S,Kyr | [Trait],3,5,3,"Binvi recieves half damage (rounding down) from [Trait] creatures.
Deploy: Ready a friendly [Trait] creature.","([Trait] can be Construct, Beast, Horror, Titan, or Summoner)",Red,,,,,,,,
305,Creature,"Olian, The Wretched",8S,Kyr,6,3,0,"Sturdy.
Dauntless.
Olian, The Wretched does not take damage from [Trait] creatures.","([Trait] can be Human, Apparition, Pillager, Plant, Scrap, or Leader)",Red,,,,,,,,
306,Creature,The Arbiter,2S,Kyr,2,2,1,"Trap: If the trapped creature is a Kyr, destroy it.",,Red,,,,,,,,
307,Instant,Beat Down,3A,-,-,-,-,"Play: Deal 2 damage to a creature. If that creature already has damage on it, destroy it instead.",,Red,,,,,,,,
308,Instant,Predict Future,3A,-,-,-,-,Play: Draw 3 cards. Discard 1,,Red,,,,,,,,
309,Instant,Hard Read,1A,-,-,-,-,"Play: Your opponent reveals the top card of their library. If that card matches a card in play, draw 2 cards.",,Red,,,,,,,,
310,Instant,Enlightened Counsel,3A,-,-,-,-,Play: Reveal from the top of your library until you find an artifact. Place that artifact in your hand and shuffle your library.,,Red,,,,,,,,
311,Instant,Tribute,2A,-,-,-,-,"Play: Stockpile this card under a creature. That creature gains ""Destroyed: Your opponent gains 4A mana.""",,Red,,,,,,,,
312,Instant,Overwhelming Force,5A,-,-,-,-,"Play: Exhaust two friendly creatures. If you do, destroy a creature.",,Red,,,,,,,,
313,Instant,Weighted Bolas,2A,-,-,-,-,Play: Idle up to three enemy creatures.,,Red,,,,,,,,
314,Instant,Divisive Manouver,2A,-,-,-,-,Play: Deploy or redeploy an enemy creature to a zone of your choosing. Exhaust that creature.,,Red,,,,,,,,
315,Instant,Dying Breath,3A,-,-,-,-,"Play: Stockpile this card under an allied creature. The creature this card is stockpiled under gains ""Destroyed: place a creature in this zone on the bottom of its owners deck""",,Red,,,,,,,,
316,Instant,Quick Thinking,3A,-,-,-,-,"Play: Stockpile this card under a creature.The creature this is stockpiled under gains ""Deploy: If this is the first time this creature has been deployed this turn, ready this creature.""",,Red,,,,,,,,
317,Instant,Violence of the Learned,3A,-,-,-,-,"Play: Sacrifice a friendly artifact. If you do, search your library for any card you choose. Place that card in your hand and shuffle your library.",,Red,,,,,,,,
318,Instant,Stacked Deck,2A,-,-,-,-,Play: Reveal the top five cards of your deck. You may place any number of these cards on the bottom of your deck.,,Red,,,,,,,,
319,Instant,Grain of Knowledge,"4A
",-,-,-,-,Play: All the cards in your discard are considered A mana until End of Phase.,,Red,,,,,,,,