,ID,Type,Name,Cost,Traits,Strength,Health,Restore,Effect,Color
1,1.0,Artifact,Retrospective Mirror,7P,Item | Wonder,-,9,-,"Play: Remove all counters from a card in play. Discard all stockpiled cards under the same card.
Action: 1P. If a card you expended to cast this matches a card in play, draw 3 cards.",Purple
2,2.0,Artifact,Funeral Pyre,5P,Location,-,3,-,"Play: Search for a card in your library, and stockpile it under this card. Shuffle your library. 
End of Phase: You may stockpile a card from your hand or top of your library under the other cards in this stack. 
Action: You may cast the top card in this stockpile at +2 its cost, reduced by each card in this stockpile (excluding itself). Shuffle each card in this stockpile back into your library",Purple
3,3.0,Artifact,The Night's Gale,5P,Item,-,7,-,"Action: Choose a summoned creature. Give that creature subtle until the end of this phase. If that creature already has subtle, give it +1 | +1 | + 0",Purple
4,4.0,Artifact,Igvyr's Passageway,6P,Location,-,12,-,"Play: You may Provoke two enemy creatures.
Action: Choose 1 allied deployed creature and 1 enemy deployed creature. Return them to the Barracks.",Purple
5,5.0,Artifact,Ritual of Banishment,4P,Ritual,-,8,-,Play: Stockpile 3 creatures under Ritual of Banishment.,Purple
6,6.0,Artifact,War Drum,4P,Item,-,7,-,Action: Redeploy up to three allied creatures.,Purple
7,7.0,Artifact,Ancestral Grove,5P,Location | Ancient,-,3,-,"Action: 1P. Give a friendly creature ""Deploy: Give each Apparition in this zone +1 | +0 | +0.""  until end of phase",Purple
8,8.0,Artifact,Malevolent Scroll,6P,Item | Wonder,-,3,-,"Action: 2P. Give a deployed creature ""Trap: Destroy the trapped creature."" until end of phase.",Purple
9,9.0,Artifact,Lineate Palaquin,6P,Location,-,5,-,"Action: 1P. Deploy or redeploy a creature. This creature gains Sentry, cannot be dealt damage until the end of the phase, and cannot capture battlefields.",Purple
10,10.0,Artifact,Cult of Control,7P,Ritual,-,3,-,"Summoner creatures have +0|+2|+0 while Cult of Control is in play.
Action: 1A. Perfom the ""Bloodied/Deploy/Action/Destroyed"" effect of a Summoner in play. ",Purple
11,11.0,Artifact,Pandor's Case,5P,Item,-,9,-,"Destroyed: Destroy each creature.
Action: Deploy an enemy creature to this artifact.",Purple
12,12.0,Artifact,Empowered Vessel,6P,Item,-,3,-,"When a friendly Apparition is destroyed, you may sacrifice this artifact. If you do, resummon Apparition at no cost and give it +3 | +1 | +0",Purple
13,13.0,Creature,Traveling Charlatan,2P,Summoner,2,2,2,,Purple
14,14.0,Creature,"Vidant, Otherseer",4P,Summoner,1,4,1,Bloodied: Reveal cards from the top of your library until you find a creature with trait Apparition or Beast. Place it in your hand.,Purple
15,15.0,Creature,"Bitter Haunt
",1P,Apparition,1,1,0,Subtle (This creature may ignore the battleline when deploying),Purple
16,16.0,Creature,Shade,1P,Apparition | Horror,3,1,0,End of Phase: Sacrifice this creature.,Purple
17,17.0,Creature,Diviner of Bones,2P,Summoner,1,2,1,Idle: Draw a card.,Purple
18,18.0,Creature,Leader of the March,3P,Apparition | Leader,1,3,0,Idle: Redeploy another friendly creature,Purple
19,19.0,Creature,Lingering Malice,2P,Apparition,3,1,0,"Trap: Deal 1 damage to the trapped creature.
Sentry",Purple
20,20.0,Creature,Vengeful Huntress,4P,Demon | Hunter,3,4,1,Bloodied: Deal 2 damage to an enemy creature.,Purple
21,21.0,Creature,"Visant, Gravekeeper",3P,Human,2,2,2,Destroyed: Give a friendly Apparition +2 | +2 | +0.,Purple
22,22.0,Creature,Necronomican,4P ,Summoner,4,2,0,"Destroyed: You may sacrifice a friendly creature. If you do, heal Necronomican 2 HP and place him back in your Barracks.",Purple
23,23.0,Creature,Heart of the March,4P,Human,2,3,0,Deploy: Give this creature +1 | +0 | +0. .,Purple
24,24.0,Creature,Pointman,4P,Human | Location,1,2,2,"Sentry
Allied creatures in the same zone as Pointman have Sentry.",Purple
25,25.0,Creature,Composite of Shadows,2P,Summoner | Apparition,1,1,1,"If there are 2 or more other apparitions in play, Composite of Shadows gains +3|+3|+0.",Purple
26,26.0,Creature,"Yindír, Pit-builder",3P,Demon,1,1,1,Trap: Reduce trapped creatures power to 0.,Purple
27,27.0,Creature,Liminal Mage,5P,Summoner,2,3,0,Trap: Play an Apparition from your hand to this zone at no cost.,Purple
28,28.0,Creature,"Pietr Kivala, Gate's Warden",5P,Human | Summoner,2,2,1,"Each time your opponent discards or recycles cards, draw a card.",Purple
29,29.0,Creature,"T. Taylor, Spirit Spy",4P,Apparition,3,2,0,"Subtle (This creature may ignore the battleline when deploying).
When this creature is deployed to the enemy Barracks, deploy a creature in their Barracks to another zone.",Purple
30,30.0,Creature,"Aylki, the Hunger",3P,Apparition,1,3,0,"When a creature is destroyed by Aylki, search your library for ""Consume Spirit.""",Purple
31,31.0,Creature,"Ischdil, The Consumed",6P,Priest | Horror,4,2,0,"Deploy: Give all other horrors in this zone +0|-1|+0.
Subtle (This creature may ignore the batteline when deploying)",Purple
32,32.0,Creature,Eclissi,3P,Apparition | Horror,0,8,0,Dauntless ,Purple
33,33.0,Creature,"Mirk, Runein",4P,Summoner,3,1,1,"Deploy: Search your Library for a ""Mirkin Space."" Place it in your hand, then shuffle your library.
Destroyed: Gain 1P.",Purple
34,34.0,Creature,Terrat Ward,1P,Location,0,2,1,"Guard: An allied artifact gains ""Trap: If the trapped creature is an Apparition or Horror, destroy it"" until end of phase",Purple
35,35.0,Creature,Masked Salesman,5P,Horror | Summoner,1,4,0,"Trap: Stockpile the trapped creature under Masked Salesman.
Destroyed: Play the stockpiled cards under Masked Salesman as if they belonged to their original owner.
Masked Salesman has access to it's own effects, as well as that of any stockpiled card underneath it. ",Purple
36,36.0,Instant,Pace of Progress,1P,-,-,-,-,Play: The next deploy effect triggers twice.,Purple
37,37.0,Instant,Blessing of the Spectre,1P,-,-,-,-,Play: The next creature you summon this turn has subtle until end of phase.,Purple
38,38.0,Instant,The Igvryic Process,2P,-,-,-,-,Play: Redeploy any summoned creature.,Purple
39,39.0,Instant,Mirkin Space,1P,-,-,-,-,"Play: Deal 1 damage to a friendly creature. If this destroys that creature, gain 2P mana.",Purple
40,40.0,Instant,On the Move,3P,-,-,-,-,"Play: Until the end of phase, friendly creature with Idle effects have Idle/Deploy effects.",Purple
41,41.0,Instant,The Haunt,4P,-,-,-,-,Play: Apparitions gain +2 | +0 | + 0 until the end of this phase.,Purple
42,42.0,Instant,The Night of Many Terrors,2P,-,-,-,-,Play: Give every friendly creature Subtle until end of phase.,Purple
43,43.0,Instant,Consume Spirit,2P,-,-,-,-,"Play: Choose a friendly creature with toughness exactly 3. Reduce that creature's power to 0. If you do, stockpile this card under that creature.
The creature this is stockpiled under has ""End of Phase: Give this creature +1 | +1 | +0."" ",Purple
44,44.0,Instant,Decay,4P,-,-,-,-,Play: Choose any creature in play. The next damage dealt to that creature this phase destroys it.,Purple
45,45.0,Instant,Horrific Visions,2P,-,-,-,-,Play: Redeploy an enemy creature to its owner's barracks and deal 2 damage to it.,Purple
46,46.0,Instant,Cause for Wonder,4P,-,-,-,-,"Play: Activate the Bloodied/Deploy/Idle effect of a friendly creature. If you do, you may exhaust a friendly creature in the same zone as the selected creature to repeat the previous effect.",Purple
47,47.0,Instant,Fleetfooted,3P,-,-,-,-,"Play: Deploy a friendly creature. Then, redeploy them. Deploy effects are triggered both times.",Purple
48,48.0,Instant,Beyond the Gate,3P,-,-,-,-,"Play: Select a friendly creature. Give that creature +1 | -1 | +0 and the trait ""Apparition""",Purple
49,49.0,Instant,Pietr's Sanctum,4P,-,-,-,-,"Play: During this phase, every time your opponent discards or recycles cards, they must sacrifice a creature.",Purple
51,50.0,Artifact,Tower of Rabble,7O,Location | Anomaly,-,9,-,"Play: Until the end of this phase, every Construct is also considered an Anomaly.
Action: Give a creature +0 | +1 | +1 for each card stashed under Tower of Rabble. Shuffle the stashed cards into your deck.
Whenever summoning/constructing anything that requires Gold mana, stash one of the cards expended under Tower of Rabble.",Gold
52,51.0,Artifact,Swarm Construction Chip,8O,Item | Wonder,-,4,-,"Each Construct in play gains ""Action: This card counts as 2 gold mana this turn.""",Gold
53,52.0,Artifact,Oracle's Eye,"6O
",Location,-,7,-,"Play: Your opponent must reveal a card in their hand for each artifact in play.
Action: 1G. Look at the next X number of cards in your library, where X is  the number of artifacts in play. Put those cards back in any order, then draw one card.",Gold
54,53.0,Artifact,"Crucible of Progress
",5O,Location | Workshop,-,5,-,"Play: Reveal from the top of your deck until you find an artifact. Place this artifact in your hand and shuffle your library. Fully heal all other Artifacts.
Action: Sacrifice a creature. If you do, reveal from the top of your deck until you find an artifact. Place this artifact in your hand and shuffle your library.",Gold
55,54.0,Artifact,"Ningaipodos, Purifier
","6O
",Item,-,5,-,"Play: Discard all tokens on a summoned creature.
Action: Deal 2 damage to a creature. If that creature has no damage on it, instead deal 4.",Gold
56,55.0,Artifact,"Damaci, The Compiler",7O,Item | Wonder,-,8,-,Action: 1O. Sacrifice a creature. Add that creature's toughness and power to another allied creature.,Gold
57,56.0,Artifact,Armory Exaltate,7O,Location,-,8,-,"Play: A friendly creature gains ""Trap: Deploy two friendly creatures to this zone and resolve combat."" Until end of phase
Action: Deal 2 damage to a creature. If this destroys that creature, gain 1 gold mana till the end of phase.",Gold
58,57.0,Artifact,Neural Web,7O,Item,-,3,-,"When a friendly creature would be destroyed instead ready it, retreat it, and give it ""End of Phase: Sacrifice this creature.""",Gold
59,58.0,Artifact,Key Ite Elevatus,6O,Location,-,3,-,"Friendly non-Leader, non-Scholar creatures in the same zone as a Leader or Scholar gain Sturdy and are considered to have X toughness, where X is the number of friendly creatures in play.",Gold
60,59.0,Artifact,Ministry of Corrections,6O,Location,-,3,-,"Action: Select an enemy creature and pay its cost (in gold mana). If you do, place this creature at the bottom of its owner's deck.",Gold
61,60.0,Artifact,Reta Galvari,8O,Location | Ritual,-,8,-,"End of Phase: Deal 1 damage to Reta Galvari. 
Action: 2O. For each point of damage on Reta Galvari, ready an allied creature. Fully heal Reta Galvari.",Gold
62,61.0,Artifact,Reta Anioch,5O,Location | Ritual,-,3,-,"When you summon a creature, if there is not already a card stockpiled under Reta Anioch, you may instead stockpile that creature under Reta Anioch.
End of Phase: Summon the creature under Reta Anioch at no cost and give it +2 | +2 | +0.",Gold
63,62.0,Creature,Fugitive Junker,3O,Construct | Anomaly,1,5,1,Fugitive Junker gains +1 | -1 | +0 for each non Anomaly Construct controlled by the active player,Gold
64,63.0,Creature,Drifter Prophet,3O,Construct | Anomaly,2,3,2,Action: Draw a card for each other card you control with the Anomaly trait. Discard one card.,Gold
65,64.0,Creature,Clockwork Enforcer,"2O
",Construct,2,3,1,,Gold
66,65.0,Creature,Quality Control,2O,Construct,1,1,3,Guard: Discard the top card of your library,Gold
67,66.0,Creature,Version Control,2O,Construct,1,3,1,"Guard: Reveal the top card of your library. If that card matches a friendly card in play, ready the card in play and fully heal it.",Gold
68,67.0,Creature,Branch Control,3O,Construct,3,1,1,"Guard: If there is a creature in play that shares no traits with any other creature, destroy it.",Gold
69,68.0,Creature,Historical Corrections Bot,4O,Construct | Drone,1,2,0,Action: 3O. Return an enemy creature in this zone to it's owners hand.,Gold
70,69.0,Creature,"Tink, Tinkerer",4O,Human | Scholar,1,1,0,This creature gains +1 | +1 | +0 for each artifact in play.,Gold
71,70.0,Creature,Replicating Widget,2O,Construct,1,1,0,"Idle: 1O. Search your library for a Replicating Widget and place it in hand. Shuffle your library. If a Replicating Widget is in play, this card costs 1 less to summon.",Gold
72,71.0,Creature,Malignant Virus,2O,"Data | Anomaly
",1,2,1,"Idle: Discard Malignant Virus.
Recyled: Destroy an enemy creature of power 3 or lower.
",Gold
73,72.0,Creature,"Daidon, Light's Representative",4O,Construct | Leader,1,4,2,Idle: Draw two cards.,Gold
74,73.0,Creature,Selfish Automata ,6O,Construct,5,2,,"Action: Shuffle each stockpiled card into its owner's deck. Sacrifice this creature.
When the Selfish Automata would take damage, instead stockpile a number of cards equivalent to the intended damage (first from your hand, then from your library) under the Selfish Automata.",Gold
75,74.0,Creature,The Distributor,3O,Data,1,1,0,Action: 2O. Summon a creature from a friendly stockpile. Sacrifice the card the creature was stockpiled under.,Gold
76,75.0,Creature,Outpost,4O,Settler | Construct,0,7,2,"Creatures in the same zone as Outpost have Sentry.
Friendly creatures in the same zone as Outpost can take their Idle action in this zone.",
77,76.0,Creature,Away Defense Matrix,4O,Construct,3,5,0,"Sentry.
Trap: If Away Defense Matrix has no direct opponent, move the trapped creature into direct combat with the Away Defense Matrix.",
78,77.0,Creature,Dedicated Irritant,3O,Construct,0,3,3,Sentry. Sturdy.,
79,78.0,Creature,Architect's Core,5O,Construct | Module,0,5,0,"Action: Stockpile an allied creature underneath this creature. If that creature is a Module, add its power to this one. 
Architect's Core has the abilities of every module-creature stockpiled under it.",Gold
80,79.0,Creature,Targeteer-1,2O,Construct | Module,2,1,0,,Gold
81,80.0,Creature,Viseer-2,3O,Construct | Module,0,2,0,Idle: Your opponent reveals a random card in their hand.,Gold
82,81.0,Creature,Traveleer-3,2O,Construct | Module,1,1,0,"Idle effects on this creature are ""Idle/Deploy"" effects.",Gold
83,82.0,Creature,Disadeer-4,4O,Construct | Module,0,2,0,Idle: This creature gains +0 | +2 | + 0 until end of phase.,Gold
84,83.0,Creature,Sanitation Bot,2O,Construct,0,2,1,"Idle: Draw 2 cards, then discard 1.",Gold
85,84.0,Creature,"Akillas, Maximate Design",6O,Construct | Leader,7,3,1,You may only play Akillas if you already control 2 other Constructs,Gold
86,85.0,Creature,The Architect,3O,Cyborg |Scholar,1,2,1,Idle: Give a creature +1 | +1 | +0.,Gold
87,86.0,Creature,Evolved Coherence,3O,Data,1,1,0,End of Phase: If a creature this phase was destroyed in the same zone as Evolved Coherenece +1 | +1 | +0.,Gold
88,87.0,Creature,Trikeri Spearbot,5O,Construct | Weapon,3,1,0,"Deploy: Deal 1 damage to a creature in this zone.
Action: Heal 1 damage from a creature in this zone.
Idle: Sacrifice Trikeri Spearbot. Give a creature in this zone +3 | +0 | +0.",Gold
89,88.0,Creature,0x43616e617279,4O,Data,0,1,1,Destroyed: Redeploy all friendly creatures in this zone to your Barracks. The Battlefield may not be captured in this combat.,Gold
90,89.0,Creature,Master of the Swarm,7O,Construct,3,7,2,"Drone Master can only be played if you control 3 or more creatures.
Deploy: Search your library for a Drone. Play it at no cost, in this zone.",Gold
91,90.0,Creature,"Yatoris, the Avaricious",3O,Cyborg | Anomaly,4,2,0,"Sturdy (This creature does not take damage, unless that damage would be enough to destroy it.) 
Destroyed: You may sacrifice a friendly creature in the same zone as Yatoris. If you do, instead of discarding it exhaust Yatoris, fully heal it, and move it into your barracks.",Gold
92,91.0,Creature,Reco,4O,Construct | Drone,1,2,0,Destroyed: Fully heal all other allied creatures in this zone.,Gold
93,92.0,Creature,Apostate of Light,4O,Cyborg | Anomaly,2,4,1,"Subtle (This creature may ignore the battleline when deploying).
Deploy: Destroy a creature of toughness less than 2 in this zone.",Gold
94,93.0,Creature,"Kliotise, Evolutionary Test",3O,Plant,2,1,0,Idle: Give this creature +0|+1|+0,Gold
95,94.0,Instant,Light's Favor,2O,-,-,-,-,"Play: If you control a Leader, stockpile this card under a friendly creature. That creature gains Sturdy and ""Deploy: You may exhaust a friendly Construct. If you do, give this creature  +0 | +1| +0"" ",Gold
96,95.0,Instant,Exploit Vulnerability,2O,-,-,-,-,"Play: Tap an enemy artifact. If you do, deal 3 damage to it",Gold
97,96.0,Instant,"
Principle of Locality","2O
","-
",-,-,-,"Play: Choose a creature in the battleline. For each friendly creature in the Battleline, give that creature +1 | +0 | +0.",Gold
98,97.0,Instant,Midaic Touch,5O,-,-,-,-,"Play: All cards in every discard are considered to be Gold until the start of the next phase. Play one card out of hand, then end the phase.",Gold
99,98.0,Instant,Reset to Factory Default,3O,-,-,-,-,Play: Return a creature to their owner's hand.,Gold
100,99.0,Instant,Gilded Ideal,3O,-,-,-,-,Play: Choose a creature. This creature may not be dealt damage until the start of the next phase.,Gold
101,100.0,Instant,Holographic Trick,2O,-,-,-,-,"Play: Return a creature from your discard to the Frontline. This creature has 0 power and cannot capture a battlefield. At the end of the phase, sacrifice this creature.",Gold
102,101.0,Instant,Value Drift,4O,-,-,-,-,"Play: Every Construct creature is considered an Anomaly until End of Phase. Give every Anomaly, Scrap, and Scholar creature +2 | +0 | +0.",Gold
103,102.0,Instant,Cost of Perfection,2O,-,-,-,-,Play: Sacrifice an allied creature. Deal damage equal to half that creature's toughness to each other creature in this zone.,Gold
104,103.0,Instant,Model of Excellence,3O,-,-,-,-,Play: Your opponent discards a random card in their hand.,Gold
105,104.0,Instant,Community Service,3O,-,-,-,-,Play: Deal 1 damage to an enemy creature for each creature you control.,Gold
106,105.0,Instant,Stabilize,4O,-,-,-,-,Play: Your opponent may not recycle cards until the start of the next phase.,Gold
107,106.0,Instant,Repurpose,2O,-,-,-,-,Play: Sacrifice up to three creatures to summon a creature at regular cost - the toughness of the sacrificed creatures.,Gold
108,107.0,Instant,Cull Imperfection,6O,-,-,-,-,Play: Destroy a creature.,Gold
109,108.0,Instant,Controlled Supply Lines,2O,-,-,-,-,"Play: Until the end of phase, the next player to recycle from their discard must exhaust two ready friendly creatures.",Gold
111,109.0,Artifact,"Recyling Plant
",6S,Location,-,8,"-
","Play: Return an instant from your discard into your hand.
While this is in play, any time a creature dies in combat, give a friendly creature +0 | +1 | +0",Grey
112,110.0,Artifact,Monument to the Ages,5S,Location,-,2,-,"Action: Sacrifice a creature. If you do, give this Artifact +0 | +2 | +0.
When a creature dies defending Monument to the ages, instead of discarding it, return it to your hand.",Grey
113,111.0,Artifact,Siegebreaker,7S,Weapon,-,7,-,Start of Phase: Each enemy creature that is outside of their barracks takes 1 damage.,
114,112.0,Artifact,Hanging Gardens,6S,Location,"-
",6,-,"Action: For each Steel creature in the discard, deal 1 to Hanging Gardens. If this damage would destroy the Hanging Gardens, instead fully heal this artifact and destroy an ally and enemy creature. If you don't, sacrfice Hanging Gardens.",Grey
115,113.0,Artifact,The Reminiscence,7S,Location,-,4,-,"Start of Phase: Choose and enemy creature. It gains, ""Destroyed: Shuffle the top two cards from your discard into your deck"" until end of phase.",Grey
116,114.0,Artifact,Tower of Scrap ,4S,Location,-,9,-,Play: Destroy all creatures.,Grey
117,115.0,Artifact,"Yliochos, Judgment's Point",6S,Location,-,4,-,"Play: You may sacrifice a friendly creature to discard 2 cards.
Action: Deal 1 damage to a creature. If this damage kills that creature, exhaust an enemy creature.",Grey
118,116.0,Artifact,The Chop Shop,5S,Location,-,2,-,"The first time The Chop Shop would take damage in a phase, it takes none. 
Action: If a Scrap creature has been destroyed this turn, give a friendly Cyborg +2 | +0 | +0""",Grey
119,117.0,Artifact,Scattering Relic,6S,Ancient | Item,-,-,-,"Destroyed: Gain 4 steel mana.
Action: Move a friendly creature to any zone, ignoring the battleline, then destroy it. ",Grey
120,118.0,Artifact,Etched Cavern,7S,Location,-,7,-,"Every time you recycle from your discard, you may deal 3 damage to a friendly creature to draw two cards.",Grey
121,119.0,Artifact,Valley of the Damned,6S,Location,-,5,-,"Trap: Ready each other friendly artifact.
When attacking Valley of the Damned, creatures deal 2 less damage.",Grey
122,120.0,Artifact,Historical of War,5S,Location,-,7,-,"Recycled: Deal 2 damage to a friendly artifact.
Play: Search your library for a creature of cost equal to the amount of damage on all your artifacts. Summon that creature, readied.",Grey
123,121.0,Creature,Reassembled Monstrosity,6S,Titan,7,7,2,,Grey
124,122.0,Creature,"Rezyx, Hoarder",1S,Human | Scrap,1,1,1,Destroyed: Gain 2 steel mana at the beginning of next phase.,Grey
125,123.0,Creature,Insef Rider,3S,Cyborg,1,2,2,"Each other ""Cyborg"" creature in play has ""Dauntless""",Grey
126,124.0,Creature,Insef Protector,5S,Cyborg,3,3,3,,Grey
127,125.0,Creature,Insef Barrelmin,2S,Scholar | Cyborg,1,2,1,"Recycled: Ready a ""Cyborg"" creature.
Play: Ready Insef Barrelmin and another ""Cyborg"" creature.",Grey
128,126.0,Creature,"Ylin, Insef Executioner",7S,Cyborg,4,6,3,"Deploy: Select a creature in this zone. If Ylin has 3 or more toughness greater than that creature, destroy it.",Grey
129,127.0,Creature,Volate Tanker,5S,Scrap | Titan,2,5,0,Destroyed: Destroy all creatures in this zone.,Grey
130,128.0,Creature,Mammothine Driver,6S,Titan,5,8,2,Dauntless,Grey
131,129.0,Creature,"Uenva, Ruinspeaker",5S,Titan,2,6,2,"Uenva, Ruinspeaker deals double damage to ""Wonder"" and ""Ancient"" cards.",Grey
132,130.0,Creature,Scattered Parts,2S,Construct,2,1,0,Recycled: Give a friendly creature +0 | +1 | +0,Grey
133,131.0,Creature,Manic Collector,4S,Human | Scholar,1,2,1,"Idle: At the end of the phase, choose one friendly creature dead this turn and return it to your hand.",Grey
134,132.0,Creature,Mismatched Coagulate,1S,Experiment,0,1,0,"Recycled: Shuffle 2 cards from your discard into your deck. If you do, Place Mismatched Coagulate and another Recycled card on the top of your deck.
Destroyed: Discard a card.",Grey
135,133.0,Creature,Mechromancer,4S,Cyborg,3,2,1,Guard: Deal 1 damage to an enemy creature in this zone for each Artifact you control.,Grey
136,134.0,Creature,Reassemblant,3S,Scrap,0,1,0,Trap: Draw a card and gain 2 Steel mana. Sacrifice Reassemblant. ,Grey
137,135.0,Creature,Spontaneous Product,3S,Scrap,3,2,1,Destroyed: Discard the bottom three cards of your deck.,Grey
138,136.0,Creature,"Itiviti, Wasteland Queen",6S,Cyborg | Scholar,2,8,0,Bloodied: Select a card recycled this phase. Place that card on the top of your library. ,Grey
139,137.0,Creature,Modi-Junker,5S,Cyborg | Scrap,0,4,3,"Friendly creatures in the same zone as Modi-Junker have ""Destroyed: Give a Modi-Junker in this zone +1 | +0 | +0.""",Grey
140,138.0,Creature,Repurposing Caravan,4S,Construct,3,2,1,"Enemy creatures in the same zone as Repurposing Caravan have ""Destroyed: Put this card on the bottom of your library""",Grey
141,139.0,Creature,Virtesian Maw,4S,Beast | Scrap,2,2,1,"Deploy: Redeploy an enemy creature in this zone to their barracks, and exhaust them.",Grey
142,140.0,Creature,"Kalkavat, Iron's Sight",5S,Cyborg,1,2,1,"Action: Search your discard for a ""Locked Shot"" and place it in your hand.",Grey
143,141.0,Creature,"Dyllis, Scrapmaker",5S,Human | Summoner,5,2,2,"End of Phase: If a creature was destroyed by Dyllis, Scrapmaker this phase, draw 2 cards and discard 3 cards.",Grey
144,142.0,Creature,"Tivyr, Bio-Engineer",2S,Cyborg | Scholar,2,2,0,"Sturdy (This creature does not take damage, unless that damage would destroy it). 
When Tivyr destroys a creature, give it +1 | +1 | +0.",Grey
145,143.0,Creature,"Fenrir, Forgotten Horror",11S,Titan | Location,9,7,3,Play: Exhaust all enemy creatures.,Grey
146,144.0,Creature,Fallen Exalt,4S,Construct | Anomaly,1,2,1,"Guard: If there is another Construct in this zone, give Fallen Exalt +3|+0|+0 until the end of phase.",Grey
147,145.0,Creature,Flamit Madman,"4S
",Cyborg | Scrap,1,3,1,"Destroyed: Destroy a battlefield, artifact, or creature in this zone.",Grey
148,146.0,Creature,Resupplier,4S,Human | Summoner,1,2,1,"End of Phase: You may expend 2 steel mana. If you do, resummon a friendly creature destroyed this turn.",Grey
149,147.0,Creature,The Feed,5S,Scrap,3,2,1,"Play: Destroy an enemy creature.
Recycled: Sacrifice an allied creature. If you do, destroy an enemy creature.",Grey
150,148.0,Creature,Student of Scrap,3S,Scrap | Scholar,2,4,1,"Play: Instead of summoning this creature to your barracks, you may instead stockpile it under another Steel creature.
Idle: Choose a friendly creature. Heal 2 points from that creature. 
The creature this is stockpiled under gains +0|+3|+1",Grey
151,149.0,Instant,Cruel Imitation,4S,-,-,-,-,"Play: Pick an enemy creature destroyed this phase. Summon and deploy it under your control. At the end of this phase, sacrifice this creature.",Grey
152,150.0,Instant,Taste of Loss,2S,-,-,-,-,"Play: Destroy a friendly creature, then resummon it.",Grey
153,151.0,Instant,Careful Execution,2S,-,-,-,-,"Play: Deal 2 damage to a creature. If this damage destroys that creature, gain 2 steel mana till end of phase.",Grey
154,152.0,Instant,Scrapapult,XS,-,-,-,-,"Play: Deal X damage to a creature, where X is the number of cards you choose to recycle for this effect, up to a maximum of 4. ",Grey
155,153.0,Instant,Memory of War,3S,-,-,-,-,"Play: Summon a creature from your discard. At the end of this phase, sacrifice it.",Grey
156,154.0,Instant,Locked Shot,"2S
",-,-,-,-,"Play: If you control a ready ""Kalkavat, Iron's Sight"" deal 4 damage to an enemy creature. If you do not, destroy a friendly creature.",Grey
157,155.0,Instant,Badge of Rust,2S,-,-,-,-,Play: Exhaust an enemy creature.,Grey
158,156.0,Instant,Entrench,4S,-,-,-,-,Play: Destroy each creature in the battleline not directly fighting another creature.,Grey
159,157.0,Instant,Disarmor,3S,-,-,-,-,"Play: Stockpile this under a chosen creature. The creature this is stockpiled under loses Subtle, Sturdy and Dauntless.",Grey
160,158.0,Instant,Principle of Decay,3S,-,-,-,-,"Play: Every creature gains ""Deploy: Give this creature -1 | -1 | -1"" until End of Phase.",Grey
161,159.0,Instant,Lurid Sacrifice,3S,-,-,-,-,"Play: Discard your hand. If you discarded 4 or more cards, play the top card of your library at no cost.",Grey
